Categoria,Tipo,Patrimonio,Tasse,Rapporto Growth/Value,Rendimento 2006,Rendimento a 3 Anni,Rendimento a 5 Anni,Rischio
Large Cap,Growth,1027.1,No,1.47,7.7,9.7,5.1,Alto
Large Cap,Growth,46.2,No,1.00,6.5,9.2,4.9,Medio
Large Cap,Growth,209.0,No,0.90,12.6,10.1,4.2,Alto
Large Cap,Growth,105.4,No,1.88,6.6,9.8,5.3,Medio
Large Cap,Growth,52.3,No,1.38,5.7,6.0,1.7,Medio
Large Cap,Growth,178.1,No,1.62,6.6,8.1,3.2,Medio
Large Cap,Growth,989.8,Si,1.47,8.1,6.0,3.7,Medio
Large Cap,Growth,224.4,No,2.12,4.2,6.5,1.5,Alto
Large Cap,Growth,975.8,Si,1.53,-2.0,7.9,3.9,Alto
Large Cap,Growth,421.5,No,1.92,14.0,9.1,2.5,Alto
Large Cap,Growth,353.5,No,0.72,7.3,8.2,3.0,Medio
Large Cap,Growth,3960.2,No,1.00,7.9,7.5,2.7,Medio
Large Cap,Growth,13308.4,No,0.99,-3.3,3.0,1.1,Medio
Large Cap,Growth,730.5,No,1.32,-1.6,3.4,1.7,Alto
Large Cap,Growth,434.5,No,1.10,3.3,3.2,1.5,Medio
Large Cap,Growth,1260.8,No,0.75,8.4,6.1,1.7,Medio
Large Cap,Growth,95.5,No,1.28,4.1,7.4,2.0,Alto
Large Cap,Growth,41.5,Si,1.59,-5.5,3.2,3.1,Alto
Large Cap,Growth,861.8,No,1.91,3.0,5.5,1.0,Medio
Large Cap,Growth,115.9,Si,1.35,3.7,6.6,3.6,Medio
Large Cap,Growth,61.0,No,1.09,13.4,7.1,2.8,Alto
Large Cap,Growth,51.0,No,1.04,10.5,6.7,3.5,Alto
Large Cap,Growth,52.4,Si,0.75,11.4,7.3,3.8,Medio
Large Cap,Growth,198.5,Si,1.03,15.4,9.7,4.0,Medio
Large Cap,Growth,1219.3,No,0.86,10.3,7.7,2.3,Alto
Large Cap,Growth,181.5,No,1.13,9.7,6.7,3.6,Medio
Large Cap,Growth,2046.5,No,0.77,4.6,7.9,3.4,Alto
Large Cap,Growth,591.2,No,0.85,2.6,6.5,1.2,Alto
Large Cap,Growth,67.0,No,0.76,1.6,5.1,1.1,Alto
Large Cap,Growth,164.7,No,1.30,5.9,8.3,3.4,Alto
Large Cap,Growth,798.6,No,1.22,3.5,5.7,2.5,Medio
Large Cap,Growth,322.9,No,1.37,13.1,8.2,3.4,Alto
Large Cap,Growth,94.2,Si,1.38,16.4,7.7,4.1,Basso
Large Cap,Growth,334.0,No,1.04,9.0,6.1,1.2,Alto
Large Cap,Growth,896.9,No,0.85,8.3,8.0,2.4,Medio
Large Cap,Growth,261.4,No,1.11,7.2,6.6,1.3,Medio
Large Cap,Growth,356.4,Si,1.14,7.4,6.2,3.1,Alto
Large Cap,Growth,678.2,No,1.10,7.9,11.5,1.5,Alto
Large Cap,Growth,142.0,Si,0.94,9.1,8.8,4.2,Medio
Large Cap,Growth,2289.2,Si,1.20,4.9,6.8,4.1,Alto
Large Cap,Growth,20574.1,No,0.61,5.5,5.3,1.7,Medio
Large Cap,Growth,785.4,No,0.96,4.4,6.8,2.5,Medio
Large Cap,Growth,454.4,Si,1.46,13.8,7.9,3.0,Medio
Large Cap,Growth,901.4,Si,0.95,8.4,5.3,2.4,Alto
Large Cap,Growth,184.8,Si,0.99,6.3,7.0,3.0,Alto
Large Cap,Growth,1370.5,Si,1.39,8.2,8.4,2.2,Medio
Large Cap,Growth,458.9,Si,1.00,7.8,7.8,3.6,Medio
Large Cap,Growth,7992.9,No,0.88,2.3,8.5,2.9,Alto
Large Cap,Growth,395.5,Si,1.19,11.4,9.7,4.8,Alto
Large Cap,Growth,128.8,No,0.97,2.9,4.3,1.4,Alto
Large Cap,Growth,7221.2,No,0.20,8.9,6.7,2.5,Medio
Large Cap,Growth,266.9,No,0.25,9.2,6.9,2.8,Alto
Large Cap,Growth,4295.1,No,0.18,10.8,6.8,3.1,Medio
Large Cap,Growth,11495.8,No,0.87,10.6,6.4,2.8,Alto
Large Cap,Growth,166.3,No,1.16,10.1,6.1,2.7,Medio
Large Cap,Growth,1525.7,Si,1.04,1.5,8.0,2.4,Alto
Large Cap,Growth,684.3,No,0.66,11.4,6.7,3.3,Alto
Large Cap,Growth,52.1,No,2.35,7.8,6.3,1.2,Alto
Large Cap,Growth,1258.7,Si,1.28,1.4,4.0,2.8,Medio
Large Cap,Growth,2460.5,Si,1.17,4.3,3.2,2.7,Alto
Large Cap,Growth,224.1,Si,1.10,-3.5,7.2,4.6,Alto
Large Cap,Growth,59.7,No,1.35,5.2,5.1,3.1,Medio
Large Cap,Growth,265.4,No,0.93,4.7,8.9,2.5,Alto
Large Cap,Growth,202.8,Si,1.40,6.5,9.9,2.5,Medio
Large Cap,Growth,232.3,No,1.27,9.0,7.6,2.4,Medio
Large Cap,Growth,702.9,Si,1.21,14.4,9.3,2.9,Alto
Large Cap,Growth,523.4,Si,1.34,9.4,8.7,2.0,Medio
Large Cap,Growth,2152.4,Si,1.27,7.5,9.7,2.4,Alto
Large Cap,Growth,1364.7,Si,1.01,0.0,7.3,2.7,Medio
Large Cap,Growth,1016.0,No,0.65,4.1,9.1,3.5,Alto
Large Cap,Growth,18780.9,No,0.20,7.1,5.9,2.2,Alto
Large Cap,Growth,196.4,No,1.00,8.0,5.4,1.4,Medio
Large Cap,Growth,95.3,No,1.31,5.3,6.1,2.1,Alto
Large Cap,Growth,123.1,No,1.41,7.7,6.8,2.1,Alto
Large Cap,Growth,5444.1,Si,1.07,7.5,6.2,2.7,Alto
Large Cap,Growth,158.4,No,1.13,10.3,8.2,2.6,Medio
Large Cap,Growth,547.9,Si,1.54,10.8,8.2,3.5,Alto
Large Cap,Growth,94.4,No,1.18,2.6,5.7,3.3,Medio
Large Cap,Growth,387.9,Si,1.23,6.6,5.5,3.8,Medio
Large Cap,Growth,2423.8,Si,1.14,10.9,9.3,3.6,Medio
Large Cap,Growth,801.8,Si,0.91,16.9,8.7,4.0,Medio
Large Cap,Growth,134.7,No,1.18,10.1,8.1,1.9,Medio
Large Cap,Growth,717.9,No,1.20,6.3,5.7,1.2,Alto
Large Cap,Growth,380.7,Si,1.34,12.0,7.7,3.9,Medio
Large Cap,Growth,124.2,Si,1.75,8.4,5.9,2.7,Medio
Large Cap,Growth,81.3,Si,0.80,8.4,5.5,2.1,Medio
Large Cap,Growth,107.2,No,1.00,9.5,10.6,3.5,Medio
Large Cap,Growth,99.4,Si,1.18,14.1,8.0,3.5,Medio
Large Cap,Growth,718.3,Si,1.52,-0.3,2.5,2.9,Alto
Large Cap,Growth,822.5,No,0.91,7.2,7.5,3.7,Alto
Large Cap,Growth,63.3,No,1.03,6.8,4.3,2.6,Medio
Large Cap,Growth,2715.0,No,0.90,-5.1,3.6,3.1,Alto
Large Cap,Growth,526.0,No,0.45,5.4,5.6,1.1,Alto
Large Cap,Growth,380.3,No,1.35,-6.5,6.8,3.7,Alto
Large Cap,Growth,1073.9,No,0.95,9.5,7.9,2.4,Medio
Large Cap,Growth,1172.1,No,0.99,5.3,8.5,3.0,Medio
Large Cap,Growth,233.3,No,1.45,-1.0,6.9,2.0,Medio
Large Cap,Growth,909.3,No,1.00,-0.5,7.1,0.9,Alto
Large Cap,Growth,131.3,No,0.80,6.4,5.7,1.7,Alto
Large Cap,Growth,199.9,No,1.13,4.0,8.8,2.0,Alto
Large Cap,Growth,299.5,No,1.16,11.3,10.1,2.4,Alto
Large Cap,Growth,193.1,Si,1.24,5.8,9.1,2.8,Alto
Large Cap,Growth,1412.9,Si,0.96,3.6,8.6,3.0,Alto
Large Cap,Growth,105.2,No,2.45,4.6,6.0,1.5,Alto
Large Cap,Growth,774.6,No,0.88,6.1,6.5,2.9,Alto
Large Cap,Growth,6741.7,No,0.22,9.0,7.1,3.4,Medio
Large Cap,Growth,2779.7,No,0.94,10.2,6.1,3.1,Alto
Large Cap,Growth,40.5,Si,1.25,4.7,9.6,4.6,Alto
Large Cap,Growth,410.8,No,1.19,3.9,6.8,1.6,Alto
Large Cap,Growth,382.9,No,1.38,5.0,6.7,3.7,Medio
Large Cap,Growth,428.6,No,0.97,7.8,5.6,0.3,Alto
Large Cap,Growth,1154.5,Si,1.54,-9.0,7.0,0.3,Alto
Large Cap,Growth,2590.2,No,1.00,-1.8,2.1,0.5,Medio
Large Cap,Growth,729.1,Si,1.59,7.5,5.4,0.9,Medio
Large Cap,Growth,256.7,No,1.52,-2.0,4.1,0.6,Alto
Large Cap,Growth,185.6,No,1.17,2.7,5.1,-0.1,Alto
Large Cap,Growth,95.5,Si,1.45,1.8,3.9,-0.2,Alto
Large Cap,Growth,3012.5,Si,1.29,6.3,4.7,1.0,Alto
Large Cap,Growth,112.7,Si,1.33,4.7,3.1,-0.7,Alto
Large Cap,Growth,45.3,Si,1.80,8.9,6.1,1.3,Medio
Large Cap,Growth,134.3,Si,1.44,7.8,5.0,0.8,Alto
Large Cap,Growth,85.8,Si,1.44,4.0,6.7,0.7,Alto
Large Cap,Growth,208.1,Si,1.24,5.9,5.8,1.4,Medio
Large Cap,Growth,90.5,Si,2.00,-2.4,0.3,-1.0,Alto
Large Cap,Growth,152.9,Si,1.05,14.1,4.0,0.7,Medio
Large Cap,Growth,121.0,Si,1.49,4.6,5.1,-0.8,Alto
Large Cap,Growth,701.7,Si,1.27,3.3,4.8,0.0,Alto
Large Cap,Growth,67.4,No,1.22,5.0,4.7,-0.1,Alto
Large Cap,Growth,3950.2,Si,0.96,7.5,7.0,1.5,Alto
Large Cap,Growth,65.9,Si,1.20,7.3,5.9,1.0,Alto
Large Cap,Growth,48.2,No,0.77,7.9,5.5,-0.2,Alto
Large Cap,Growth,348.4,Si,0.95,5.9,5.8,1.4,Alto
Large Cap,Growth,423.9,Si,1.27,6.2,4.6,0.5,Alto
Large Cap,Growth,40.0,No,2.27,8.9,3.7,-0.9,Medio
Large Cap,Growth,133.2,No,1.46,7.5,6.2,0.6,Alto
Large Cap,Growth,121.4,Si,1.42,4.5,8.7,1.5,Alto
Large Cap,Growth,1020.7,Si,1.16,4.6,6.1,0.7,Alto
Large Cap,Growth,138.6,No,1.14,6.1,3.9,-1.1,Alto
Large Cap,Growth,482.9,Si,1.37,1.1,3.1,0.1,Alto
Large Cap,Growth,171.1,Si,1.62,2.6,2.3,-1.1,Alto
Large Cap,Growth,386.3,Si,1.40,8.9,6.1,-0.4,Alto
Large Cap,Growth,255.3,No,1.38,5.3,5.6,-6.1,Alto
Large Cap,Growth,225.7,No,1.39,-8.0,-11.7,-17.6,Alto
Large Cap,Growth,367.2,Si,1.26,9.6,6.0,1.6,Alto
Large Cap,Growth,5694.8,Si,1.04,5.2,5.2,1.3,Alto
Large Cap,Growth,43.8,Si,1.25,9.6,6.0,1.8,Medio
Large Cap,Growth,349.9,No,1.65,5.3,5.4,-5.9,Alto
Large Cap,Growth,343.3,No,1.66,-8.0,-11.9,-16.6,Alto
Large Cap,Growth,105.4,No,1.39,-1.1,-4.0,-5.4,Alto
Large Cap,Growth,374.2,Si,1.38,9.3,6.9,0.5,Alto
Large Cap,Growth,118.6,No,2.90,8.6,4.3,-0.9,Alto
Large Cap,Growth,206.4,No,0.21,8.6,5.5,0.7,Alto
Large Cap,Growth,49.3,Si,1.55,5.9,4.1,0.1,Alto
Large Cap,Growth,65.6,Si,1.60,4.8,5.5,-0.1,Alto
Large Cap,Growth,123.4,Si,1.05,6.9,6.0,0.8,Alto
Large Cap,Growth,45.8,Si,1.64,0.1,5.8,1.2,Medio
Large Cap,Growth,1091.2,Si,1.10,6.5,5.8,1.0,Alto
Large Cap,Growth,2785.9,Si,1.09,2.6,5.8,0.2,Alto
Large Cap,Growth,4644.9,No,0.58,1.8,6.6,-0.4,Alto
Large Cap,Growth,1448.4,No,0.95,2.2,3.7,0.3,Alto
Large Cap,Growth,47.6,Si,1.88,10.8,6.4,1.9,Medio
Large Cap,Growth,527.6,No,1.14,-0.1,-2.8,-3.4,Alto
Large Cap,Growth,138.2,Si,1.41,4.2,6.1,0.8,Alto
Large Cap,Value,90.0,No,1.53,12.3,16.1,13.9,Medio
Large Cap,Value,149.0,No,1.20,18.8,14.1,9.4,Basso
Large Cap,Value,620.8,No,0.97,21.0,14.7,10.3,Basso
Large Cap,Value,388.3,No,0.83,21.7,13.5,10.5,Basso
Large Cap,Value,1964.1,Si,1.10,22.1,15.7,12.9,Basso
Large Cap,Value,111.4,No,1.49,21.2,18.0,12.2,Basso
Large Cap,Value,2829.9,No,0.86,18.7,15.7,12.0,Basso
Large Cap,Value,475.0,No,1.10,19.7,12.4,9.4,Basso
Large Cap,Value,1417.7,No,0.84,19.8,12.6,9.7,Basso
Large Cap,Value,2543.7,No,0.99,18.5,12.5,9.9,Basso
Large Cap,Value,359.7,Si,1.07,19.0,15.4,11.3,Basso
Large Cap,Value,1690.5,Si,1.23,15.8,16.8,13.2,Basso
Large Cap,Value,362.2,No,0.80,15.7,11.2,9.4,Basso
Large Cap,Value,1342.7,No,1.18,16.6,12.8,10.2,Medio
Large Cap,Value,331.6,Si,1.27,15.1,17.4,11.1,Medio
Large Cap,Value,84842.6,No,0.52,18.5,15.6,12.8,Basso
Large Cap,Value,7365.6,No,1.05,14.9,14.7,11.3,Medio
Large Cap,Value,1269.2,No,0.84,17.1,15.3,9.9,Basso
Large Cap,Value,262.0,No,1.00,16.7,14.4,10.8,Basso
Large Cap,Value,31686.7,Si,0.60,19.2,14.9,10.6,Basso
Large Cap,Value,48.8,No,0.48,14.2,14.0,10.0,Basso
Large Cap,Value,3033.8,Si,1.22,13.4,13.6,14.0,Basso
Large Cap,Value,394.0,No,0.50,20.0,15.8,11.5,Basso
Large Cap,Value,8581.2,No,0.20,22.0,14.9,10.7,Basso
Large Cap,Value,663.9,No,0.25,22.0,14.9,10.9,Basso
Large Cap,Value,5768.7,Si,1.32,16.5,13.2,13.1,Basso
Large Cap,Value,143.9,No,1.07,20.4,14.4,9.6,Basso
Large Cap,Value,85.3,Si,1.10,19.9,13.3,11.1,Basso
Large Cap,Value,93.9,No,0.85,24.7,17.4,11.2,Basso
Large Cap,Value,1470.0,No,0.80,20.6,15.8,10.5,Basso
Large Cap,Value,3856.7,No,0.84,21.0,14.8,11.8,Basso
Large Cap,Value,11261.9,No,0.76,18.4,14.2,10.9,Basso
Large Cap,Value,2268.3,No,0.82,13.2,16.8,10.2,Alto
Large Cap,Value,1356.9,Si,1.15,16.6,14.7,13.9,Basso
Large Cap,Value,5836.8,Si,1.10,19.7,17.0,13.2,Medio
Large Cap,Value,263.1,No,1.07,18.1,13.7,9.8,Basso
Large Cap,Value,153.8,No,0.96,19.4,14.4,9.2,Basso
Large Cap,Value,2843.6,No,0.98,16.6,12.8,9.9,Medio
Large Cap,Value,126.5,Si,1.63,19.3,12.9,10.8,Basso
Large Cap,Value,20716.0,No,0.71,19.1,12.6,9.3,Basso
Large Cap,Value,5052.3,No,0.90,19.8,13.7,9.8,Medio
Large Cap,Value,1276.3,No,1.16,18.2,12.6,11.2,Basso
Large Cap,Value,84.6,Si,1.55,18.4,15.4,10.6,Medio
Large Cap,Value,101.6,No,1.19,14.9,14.9,12.1,Basso
Large Cap,Value,1173.0,No,0.86,19.0,14.2,9.5,Basso
Large Cap,Value,399.8,No,1.15,16.6,14.4,9.3,Basso
Large Cap,Value,202.1,Si,1.38,15.1,13.0,10.5,Medio
Large Cap,Value,4256.9,No,0.21,22.1,14.7,9.5,Medio
Large Cap,Value,30898.0,No,0.35,18.2,14.4,10.1,Basso
Large Cap,Value,1426.6,No,0.89,18.7,13.0,10.3,Basso
Large Cap,Value,72.2,No,1.49,18.5,13.5,9.2,Basso
Large Cap,Value,1559.2,Si,0.90,17.7,15.2,11.5,Basso
Large Cap,Value,128.8,No,0.85,16.4,12.3,7.3,Medio
Large Cap,Value,652.7,Si,1.11,20.6,11.1,7.7,Alto
Large Cap,Value,16308.1,Si,0.58,16.2,10.5,7.9,Basso
Large Cap,Value,679.8,No,1.30,20.8,11.1,7.7,Medio
Large Cap,Value,109.4,No,1.35,11.8,9.0,8.9,Basso
Large Cap,Value,117.6,Si,1.48,15.6,13.2,9.2,Basso
Large Cap,Value,47.3,No,1.11,19.7,12.8,8.7,Basso
Large Cap,Value,50.3,Si,1.14,21.2,13.5,7.7,Basso
Large Cap,Value,841.1,No,1.59,21.4,10.9,8.1,Medio
Large Cap,Value,114.7,No,0.74,15.6,10.7,7.3,Basso
Large Cap,Value,103.4,Si,1.47,14.6,10.8,8.1,Medio
Large Cap,Value,3381.6,No,1.11,15.3,6.8,6.5,Basso
Large Cap,Value,496.7,No,0.80,20.1,13.7,7.3,Basso
Large Cap,Value,1280.2,Si,0.96,17.7,13.3,9.0,Medio
Large Cap,Value,122.7,No,1.18,20.4,13.3,7.7,Basso
Large Cap,Value,1683.3,No,0.76,20.9,13.3,8.2,Medio
Large Cap,Value,84.6,No,1.09,19.7,12.7,7.1,Basso
Large Cap,Value,310.6,Si,1.16,19.1,13.0,8.7,Basso
Large Cap,Value,24418.9,Si,0.87,15.1,12.7,9.4,Basso
Large Cap,Value,1246.9,Si,1.15,23.4,11.8,7.6,Basso
Large Cap,Value,270.4,Si,1.01,23.6,13.8,9.3,Basso
Large Cap,Value,1197.3,No,0.81,20.0,12.8,8.8,Basso
Large Cap,Value,274.9,Si,1.20,19.8,15.0,9.8,Medio
Large Cap,Value,125.6,Si,1.23,20.0,13.6,8.9,Basso
Large Cap,Value,57.5,No,2.27,20.1,10.9,7.2,Medio
Large Cap,Value,5895.1,Si,1.12,17.4,12.8,9.0,Medio
Large Cap,Value,260.8,Si,1.20,14.8,11.0,8.5,Medio
Large Cap,Value,3205.3,Si,1.04,18.8,15.3,9.7,Basso
Large Cap,Value,549.3,Si,1.21,19.0,14.9,9.5,Basso
Large Cap,Value,671.1,No,0.88,20.5,14.9,8.8,Medio
Large Cap,Value,426.2,Si,1.21,16.6,10.0,8.6,Basso
Large Cap,Value,29886.2,No,0.67,19.8,12.1,8.7,Medio
Large Cap,Value,11645.6,No,0.62,13.7,9.3,8.0,Medio
Large Cap,Value,245.7,No,0.58,19.5,11.7,7.9,Basso
Large Cap,Value,69.8,No,0.86,12.0,12.3,8.3,Alto
Large Cap,Value,1138.1,No,0.95,19.8,11.2,7.4,Basso
Large Cap,Value,116.3,Si,1.21,18.3,12.7,7.3,Medio
Large Cap,Value,110.1,No,1.20,19.0,12.4,8.0,Basso
Large Cap,Value,362.3,Si,1.40,19.8,13.3,7.5,Basso
Large Cap,Value,187.4,Si,1.29,16.0,10.9,7.7,Basso
Large Cap,Value,1887.2,Si,1.00,17.4,9.8,10.0,Basso
Large Cap,Value,806.0,Si,1.23,18.4,14.2,10.3,Basso
Large Cap,Value,594.6,Si,0.89,17.8,15.2,9.9,Basso
Large Cap,Value,587.1,No,0.70,16.1,12.0,7.3,Basso
Large Cap,Value,89.1,No,2.43,11.8,8.9,6.4,Medio
Large Cap,Value,2705.1,Si,1.18,19.6,12.2,8.8,Basso
Large Cap,Value,260.3,No,1.20,20.1,11.0,8.1,Basso
Large Cap,Value,112.0,No,2.28,21.8,7.6,6.9,Basso
Large Cap,Value,66.4,Si,1.35,19.4,12.8,7.7,Basso
Large Cap,Value,149.3,Si,1.17,18.9,15.4,9.8,Basso
Large Cap,Value,73977.8,Si,0.55,15.9,10.8,8.0,Basso
Large Cap,Value,4362.4,No,0.18,20.6,13.8,8.9,Medio
Large Cap,Value,69.1,Si,1.53,16.2,11.3,8.1,Basso
Large Cap,Value,109.9,Si,1.60,19.7,12.3,8.5,Medio
Large Cap,Value,1540.8,Si,0.93,11.7,12.9,7.8,Medio
Large Cap,Value,965.3,Si,1.04,19.2,17.0,9.9,Medio
Large Cap,Value,135.0,Si,1.19,20.6,12.4,7.3,Basso
Large Cap,Value,561.0,Si,1.26,18.5,11.9,7.8,Basso
Large Cap,Value,925.7,No,0.83,20.4,13.0,7.7,Medio
Large Cap,Value,90.2,No,1.95,18.0,11.3,6.0,Alto
Large Cap,Value,791.2,No,1.86,10.0,10.7,7.5,Medio
Large Cap,Value,579.9,No,0.58,16.0,11.7,7.6,Medio
Large Cap,Value,16140.6,Si,0.82,17.6,11.0,7.8,Medio
Large Cap,Value,123.0,No,0.94,16.8,11.0,6.8,Medio
Large Cap,Value,980.1,No,0.80,20.2,14.1,7.6,Basso
Large Cap,Value,79.6,No,1.15,18.1,12.4,6.6,Medio
Large Cap,Value,347.0,No,1.23,18.4,11.4,7.5,Basso
Large Cap,Value,192.1,No,0.99,16.3,6.8,6.9,Alto
Large Cap,Value,444.1,No,0.81,15.8,12.3,7.1,Basso
Large Cap,Value,100.0,No,0.77,19.5,10.7,6.6,Basso
Large Cap,Value,5523.2,Si,1.18,20.7,13.8,9.7,Basso
Large Cap,Value,203.5,No,0.68,16.7,13.8,7.9,Medio
Large Cap,Value,314.7,No,0.65,17.1,13.1,8.6,Medio
Large Cap,Value,176.0,No,1.75,15.6,11.6,6.5,Medio
Large Cap,Value,1212.4,No,1.10,19.3,11.0,8.7,Basso
Large Cap,Value,5865.6,No,1.05,18.3,9.3,6.9,Basso
Large Cap,Value,367.3,Si,1.34,13.6,13.1,9.7,Medio
Large Cap,Value,680.9,Si,1.24,16.0,11.5,7.4,Basso
Large Cap,Value,1324.2,Si,0.99,15.8,12.4,10.3,Basso
Large Cap,Value,79.2,No,0.80,21.9,10.1,6.8,Medio
Large Cap,Value,69.1,Si,1.90,15.3,11.4,7.1,Basso
Large Cap,Value,86.0,No,1.52,8.2,12.1,8.8,Basso
Large Cap,Value,53.1,Si,1.15,13.7,6.8,8.2,Basso
Large Cap,Value,107.7,Si,1.28,22.3,15.8,9.0,Basso
Large Cap,Value,863.9,Si,1.06,23.3,14.9,9.2,Basso
Large Cap,Value,3887.6,Si,0.94,15.5,11.1,7.4,Basso
Large Cap,Value,2733.7,Si,0.98,19.3,12.2,9.3,Basso
Large Cap,Value,1403.0,Si,1.13,15.9,12.3,9.6,Medio
Large Cap,Value,1041.8,Si,1.16,20.3,15.6,8.6,Medio
Large Cap,Value,797.4,Si,1.26,14.4,11.5,8.1,Basso
Large Cap,Value,221.3,Si,1.26,17.7,10.6,7.5,Medio
Large Cap,Value,53.5,Si,1.18,18.9,13.7,7.5,Medio
Large Cap,Value,107.4,No,1.24,18.2,12.3,7.3,Basso
Large Cap,Value,7330.5,No,0.90,15.2,12.3,9.0,Basso
Large Cap,Value,3630.5,No,1.00,8.3,6.9,6.9,Basso
Large Cap,Value,72.0,No,1.90,16.0,12.5,7.5,Basso
Large Cap,Value,62.6,Si,1.16,22.1,13.1,8.5,Basso
